COUNTRY,Country,WEEK,GENDER,Gender,Age,VARIABLE,Variable,YEAR,Year,Value
GRC,Greece,48,FEMALE,Females,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,24
GRC,Greece,48,FEMALE,Females,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,42
CHL,Chile,41,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,59.5
CHL,Chile,41,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,78.5
ITA,Italy,24,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,-20.6
ITA,Italy,24,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,52.4
CAN,Canada,37,TOTAL,Total,65 and over,EXCESSNB,Excess deaths (number),2020,2020,304
CAN,Canada,37,TOTAL,Total,65 and over,EXCESSNB,Excess deaths (number),2021,2021,879
FRA,France,35,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,-10.4
FRA,France,35,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,-12.4
FRA,France,37,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,-6.4
FRA,France,37,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,20.6
ISL,Iceland,37,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,1.2
ISL,Iceland,37,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,2.2
HUN,Hungary,46,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,100.8
HUN,Hungary,46,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,161.8
ESP,Spain,29,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,-4.4
ESP,Spain,29,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,-192.4
DNK,Denmark,27,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,0.8
DNK,Denmark,27,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,-5.2
CHL,Chile,3,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2020,2020,57.5
CHL,Chile,3,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2021,2021,347.5
CHL,Chile,3,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2022,2022,278.5
SWE,Sweden,20,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2020,2020,417
SWE,Sweden,20,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2021,2021,-26
SWE,Sweden,20,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2022,2022,70
LTU,Lithuania,36,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,4.6
LTU,Lithuania,36,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,29.6
GBR,United Kingdom,52,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2020,2020,3800.2
GBR,United Kingdom,52,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2021,2021,570.2
FIN,Finland,32,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2020,2020,26.8
FIN,Finland,32,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2021,2021,114.8
CHE,Switzerland,3,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,6.8
CHE,Switzerland,3,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,-1.2
CHE,Switzerland,3,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2022,2022,-7.2
LUX,Luxembourg,7,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,-4
LUX,Luxembourg,7,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,0
LUX,Luxembourg,7,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2022,2022,-4
SWE,Sweden,12,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,-3.6
SWE,Sweden,12,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,-4.6
SWE,Sweden,12,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2022,2022,-22.6
AUT,Austria,27,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,-3.6
AUT,Austria,27,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,-0.6
FRA,France,12,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2020,2020,2211.8
FRA,France,12,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2021,2021,1099.8
FRA,France,12,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2022,2022,695.8
LVA,Latvia,11,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,-7.8
LVA,Latvia,11,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,26.2
LVA,Latvia,11,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2022,2022,13.2
SVN,Slovenia,35,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,-9.2
SVN,Slovenia,35,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,-7.2
NOR,Norway,39,TOTAL,Total,65 and over,EXCESSNB,Excess deaths (number),2020,2020,22.8
NOR,Norway,39,TOTAL,Total,65 and over,EXCESSNB,Excess deaths (number),2021,2021,74.8
CZE,Czech Republic,29,MALE,Males,Total,EXCESSNB,Excess deaths (number),2020,2020,4.8
CZE,Czech Republic,29,MALE,Males,Total,EXCESSNB,Excess deaths (number),2021,2021,12.8
POL,Poland,21,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,-114.8
POL,Poland,21,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,37.2
ITA,Italy,9,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2020,2020,-199
ITA,Italy,9,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2021,2021,856
ITA,Italy,9,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2022,2022,-175
ESP,Spain,4,FEMALE,Females,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,15.2
ESP,Spain,4,FEMALE,Females,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,-345.8
ESP,Spain,4,FEMALE,Females,45 to 64,EXCESSNB,Excess deaths (number),2022,2022,41.2
ITA,Italy,1,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,-61.4
ITA,Italy,1,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,168.6
ITA,Italy,1,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2022,2022,84.6
FIN,Finland,39,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2020,2020,98.6
FIN,Finland,39,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2021,2021,143.6
CHL,Chile,2,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2020,2020,210.8
CHL,Chile,2,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2021,2021,594.8
CHL,Chile,2,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2022,2022,642.8
CHL,Chile,18,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,27.3
CHL,Chile,18,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,247.3
CHL,Chile,18,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2022,2022,115.3
LUX,Luxembourg,30,MALE,Males,Total,EXCESSNB,Excess deaths (number),2020,2020,3.4
LUX,Luxembourg,30,MALE,Males,Total,EXCESSNB,Excess deaths (number),2021,2021,-4.6
CHL,Chile,42,TOTAL,Total,65 and over,EXCESSNB,Excess deaths (number),2020,2020,213.8
CHL,Chile,42,TOTAL,Total,65 and over,EXCESSNB,Excess deaths (number),2021,2021,201.8
NLD,Netherlands,42,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,14.4
NLD,Netherlands,42,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,10.4
ITA,Italy,25,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2020,2020,-34.4
ITA,Italy,25,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2021,2021,646.6
CHL,Chile,49,FEMALE,Females,Total,EXCESSNB,Excess deaths (number),2020,2020,116
CHL,Chile,49,FEMALE,Females,Total,EXCESSNB,Excess deaths (number),2021,2021,306
FIN,Finland,31,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,-4.6
FIN,Finland,31,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,-6.6
POL,Poland,44,MALE,Males,Total,EXCESSNB,Excess deaths (number),2020,2020,3929.8
POL,Poland,44,MALE,Males,Total,EXCESSNB,Excess deaths (number),2021,2021,1093.8
EST,Estonia,45,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,-3.6
EST,Estonia,45,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,2.4
FRA,France,14,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,-37.6
FRA,France,14,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,-25.6
FRA,France,14,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2022,2022,15.4
ITA,Italy,9,FEMALE,Females,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,-23.8
ITA,Italy,9,FEMALE,Females,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,57.2
ITA,Italy,9,FEMALE,Females,45 to 64,EXCESSNB,Excess deaths (number),2022,2022,-9.8
FIN,Finland,10,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,3.2
FIN,Finland,10,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,-2.8
FIN,Finland,10,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2022,2022,6.2
DEU,Germany,1,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2020,2020,-342.2
DEU,Germany,1,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2021,2021,5623.8
DEU,Germany,1,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2022,2022,1471.8
DNK,Denmark,12,MALE,Males,Total,EXCESSNB,Excess deaths (number),2020,2020,7.2
DNK,Denmark,12,MALE,Males,Total,EXCESSNB,Excess deaths (number),2021,2021,-52.8
DNK,Denmark,12,MALE,Males,Total,EXCESSNB,Excess deaths (number),2022,2022,71.2
DNK,Denmark,49,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2020,2020,27.6
DNK,Denmark,49,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2021,2021,92.6
BEL,Belgium,30,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2020,2020,-47.2
BEL,Belgium,30,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2021,2021,-15.2
PRT,Portugal,25,FEMALE,Females,Total,EXCESSNB,Excess deaths (number),2020,2020,-74
PRT,Portugal,25,FEMALE,Females,Total,EXCESSNB,Excess deaths (number),2021,2021,-103
ISL,Iceland,37,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2020,2020,-2.6
ISL,Iceland,37,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2021,2021,0.4
LTU,Lithuania,44,FEMALE,Females,Total,EXCESSNB,Excess deaths (number),2020,2020,55.4
LTU,Lithuania,44,FEMALE,Females,Total,EXCESSNB,Excess deaths (number),2021,2021,213.4
CHE,Switzerland,42,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,-28.4
CHE,Switzerland,42,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,4.6
AUT,Austria,26,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,-4.6
AUT,Austria,26,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,18.4
GRC,Greece,9,FEMALE,Females,Total,EXCESSNB,Excess deaths (number),2020,2020,2.4
GRC,Greece,9,FEMALE,Females,Total,EXCESSNB,Excess deaths (number),2021,2021,81.4
GRC,Greece,9,FEMALE,Females,Total,EXCESSNB,Excess deaths (number),2022,2022,129.4
AUT,Austria,25,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,-4.6
AUT,Austria,25,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,8.4
ESP,Spain,50,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,2.8
ESP,Spain,50,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,-119.2
CHE,Switzerland,19,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,-6
CHE,Switzerland,19,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,5
